Name,Text,Location,Tags,Social_media,Web,Links
"Airgain, Inc.","Airgain, Inc.: more company information coming soon.",Hall 7 Stand 7G21,[None],"['https://x.com/intent/tweet?text=I%20am%20at%20Airgain%2C%20Inc.', 'https://www.facebook.com/share.php?u=/exhibitors/26405-airgain-inc']",,https://www.mwcbarcelona.com/exhibitors/26405-airgain-inc
Airship,"No one knows more, does more, or cares more than Airship when it comes to helping brands master mobile app experience (MAX).

From the beginning of apps, Airship powered the first commercial messages and then expanded its data-led approach to all re-engagement channels (mobile wallet, SMS, email), app UX experimentation, no-code native app experience creation and App Store Optimization (ASO).

Having powered trillions of mobile app interactions for thousands of global brands, Airship’s technology and deep industry expertise have enabled apps to become the digital center of customer experience, brand loyalty and monetization.

With the Airship App Experience Platform and Gummicube’s ASO technology and expertise, brands now have a complete set of solutions to optimize the entire mobile app customer journey – from the point of discovery to loyalty – driving greater value for everyone involved.",Hall Congress Square Stand CS100,"['APP/MOBILE SERVICES', 'USER EXPERIENCE', 'MOBILE DEVICE SOFTWARE']","['https://x.com/intent/tweet?text=I%20am%20at%20Airship', 'https://www.facebook.com/share.php?u=/exhibitors/26406-airship']",https://www.airship.com/,https://www.mwcbarcelona.com/exhibitors/26406-airship
Airspan Networks,Airspan Networks: more company information coming soon.,Hall 2 Stand 2E20,[None],"['https://x.com/intent/tweet?text=I%20am%20at%20Airspan%20Networks', 'https://www.facebook.com/share.php?u=/exhibitors/26257-airspan-networks']",,https://www.mwcbarcelona.com/exhibitors/26257-airspan-networks
AITECH4T srl,AITECH4T srl: more company information coming soon.,Hall 7 Stand 7D51,[None],"['https://x.com/intent/tweet?text=I%20am%20at%20AITECH4T%20srl', 'https://www.facebook.com/share.php?u=/exhibitors/27682-aitech4t-srl']",,https://www.mwcbarcelona.com/exhibitors/27682-aitech4t-srl
Aiwa Europe SL,Aiwa Europe SL: more company information coming soon.,Hall Congress Square Stand CS220,[None],"['https://x.com/intent/tweet?text=I%20am%20at%20Aiwa%20Europe%20SL', 'https://www.facebook.com/share.php?u=/exhibitors/27656-aiwa-europe-sl']",,https://www.mwcbarcelona.com/exhibitors/27656-aiwa-europe-sl
Akamai Technologies Ltd,Akamai Technologies Ltd: more company information coming soon.,Hall 7 Stand 7E11Ex,[None],"['https://x.com/intent/tweet?text=I%20am%20at%20Akamai%20Technologies%20Ltd', 'https://www.facebook.com/share.php?u=/exhibitors/26395-akamai-technologies-ltd']",,https://www.mwcbarcelona.com/exhibitors/26395-akamai-technologies-ltd
AL YAH SATELLITE COMPANY PJRC,AL YAH SATELLITE COMPANY PJRC: more company information coming soon.,Hall 7 Stand 7A9Ex,[None],"['https://x.com/intent/tweet?text=I%20am%20at%20AL%20YAH%20SATELLITE%20COMPANY%20PJRC', 'https://www.facebook.com/share.php?u=/exhibitors/27239-al-yah-satellite-company-pjrc']",,https://www.mwcbarcelona.com/exhibitors/27239-al-yah-satellite-company-pjrc
Alarislabs Pte Ltd,Alarislabs Pte Ltd: more company information coming soon.,Hall Congress Square Stand CS96,[None],"['https://x.com/intent/tweet?text=I%20am%20at%20Alarislabs%20Pte%20Ltd', 'https://www.facebook.com/share.php?u=/exhibitors/26379-alarislabs-pte-ltd']",,https://www.mwcbarcelona.com/exhibitors/26379-alarislabs-pte-ltd
Alea Soluciones SL,Alea Soluciones SL: more company information coming soon.,Hall 4 Stand 4C30,[None],"['https://x.com/intent/tweet?text=I%20am%20at%20Alea%20Soluciones%20SL', 'https://www.facebook.com/share.php?u=/exhibitors/27772-alea-soluciones-sl']",,https://www.mwcbarcelona.com/exhibitors/27772-alea-soluciones-sl
Alef Aeronautics Inc,Alef Aeronautics Inc: more company information coming soon.,Hall 6 Stand 6B34,[None],"['https://x.com/intent/tweet?text=I%20am%20at%20Alef%20Aeronautics%20Inc', 'https://www.facebook.com/share.php?u=/exhibitors/27587-alef-aeronautics-inc']",,https://www.mwcbarcelona.com/exhibitors/27587-alef-aeronautics-inc
Algorae,Algorae: more company information coming soon.,Hall 8.1 - 4YFN Stand 8.1C33.4A,[None],"['https://x.com/intent/tweet?text=I%20am%20at%20Algorae', 'https://www.facebook.com/share.php?u=/exhibitors/27456-algorae']",,https://www.mwcbarcelona.com/exhibitors/27456-algorae
