,Company,About,Location,Interests,Web_page,Social_media
38,acticom GmbH,acticom GmbH: more company information coming soon.,Hall 7 Stand 7B81,,,"['https://x.com/intent/tweet?text=I%20am%20going%20to%20be%20checking%20out%20acticom%20GmbH%20at%20MWC.%0Ahttps%3A%2F%2Fwww.mwcbarcelona.com%2Fexhibitors%2F27990-acticom-gmbh', 'https://www.facebook.com/share.php?u=https://www.mwcbarcelona.com/exhibitors/27990-acticom-gmbh']"
39,Actiontec Electronics Inc,Actiontec Electronics Inc: more company information coming soon.,Hall 7 Stand 7B4Ex,,,"['https://x.com/intent/tweet?text=I%20am%20going%20to%20be%20checking%20out%20Actiontec%20Electronics%20Inc%20at%20MWC.%0Ahttps%3A%2F%2Fwww.mwcbarcelona.com%2Fexhibitors%2F26893-actiontec-electronics-inc', 'https://www.facebook.com/share.php?u=https://www.mwcbarcelona.com/exhibitors/26893-actiontec-electronics-inc']"
40,"ACTIONTECH Co., Ltd.","As an expert company in next generation platforms for fire-extinguishment and safety, we pursue safety and convenience.<br /> <br /> Smart Auto Fire Extinguisher(fireZERO)<br /> - Fire can occur anytime, anywhere and can also be prevented in <br /> advance and blocked to reduce damage by fire containment.<br /> - We will promptly respond to fires that occur anytime, anywhere for <br /> initial firefighting and prevention of fire spread.<br /> - It can minimize the loss of life and property by preventing fires or <br /> initial firefighting.","Hall 8.1 - 4YFN Stand 8.1D22.5
Hall 8.1 - 4YFN Stand 8.1D22.7","Call
Email
Web",Web,"['https://x.com/intent/tweet?text=I%20am%20going%20to%20be%20checking%20out%20ACTIONTECH%20Co.%2C%20Ltd.%20at%20MWC.%0Ahttps%3A%2F%2Fwww.mwcbarcelona.com%2Fexhibitors%2F27425-actiontech-co-ltd', 'https://www.facebook.com/share.php?u=https://www.mwcbarcelona.com/exhibitors/27425-actiontech-co-ltd']"
41,AD HOC DEVELOPMENTS S.L.,AD HOC DEVELOPMENTS S.L.: more company information coming soon.,"Hall 6 Stand 6C75
Hall 6 Stand 6G89MR",,,"['https://x.com/intent/tweet?text=I%20am%20going%20to%20be%20checking%20out%20AD%20HOC%20DEVELOPMENTS%20S.L.%20at%20MWC.%0Ahttps%3A%2F%2Fwww.mwcbarcelona.com%2Fexhibitors%2F26772-ad-hoc-developments-s-l', 'https://www.facebook.com/share.php?u=https://www.mwcbarcelona.com/exhibitors/26772-ad-hoc-developments-s-l']"
42,Ad Telecom,Ad Telecom: more company information coming soon.,Hall Congress Square Stand CS220,,,"['https://x.com/intent/tweet?text=I%20am%20going%20to%20be%20checking%20out%20Ad%20Telecom%20at%20MWC.%0Ahttps%3A%2F%2Fwww.mwcbarcelona.com%2Fexhibitors%2F27702-ad-telecom', 'https://www.facebook.com/share.php?u=https://www.mwcbarcelona.com/exhibitors/27702-ad-telecom']"
43,ADAPTIT,"ADAPTIT is a multinational Group of Companies, operating under the control of ADAPTIT S.A. headquartered in Athens Greece, with a strong international presence and a wide range of activities in telecommunications, technology products and innovation.<br /> We are a systems integrator. We specialize in combining technology components into an overarching system. We analyze, design and implement turn-key solutions for our clients, while always providing high quality services.<br /> Our solutions include, but are not limited to, 4G-5G Radio Optimization, Big Data Analytics, Augmented Reality, Artificial Intelligence, IoT, Critical Communication Networks and Business Support.",Hall 1 Stand 1A28,"INTERESTS
ARTIFICIAL INTELLIGENCE
SYSTEMS INTEGRATION
5G/6G
BIG DATA/ANALYTICS
CYBERSECURITY",Web,"['https://x.com/intent/tweet?text=I%20am%20going%20to%20be%20checking%20out%20ADAPTIT%20at%20MWC.%0Ahttps%3A%2F%2Fwww.mwcbarcelona.com%2Fexhibitors%2F26273-adaptit', 'https://www.facebook.com/share.php?u=https://www.mwcbarcelona.com/exhibitors/26273-adaptit']"
44,ADDD,"ADDD advanced AI technology to measure local foot traffic and instantly determine the demographic information of individuals, including their gender and age, by analyzing video data. Furthermore, it quantifies whether they have noticed and shown interest in advertisements, enabling effective measurement of advertising effectiveness.<br /> By utilizing vision sensors and real-time video analysis, ADDD provides clients with quantitative data, facilitating efficient resource allocation and enabling strategic advertising budget execution",Hall 7 Stand 7C62,"INTERESTS
ARTIFICIAL INTELLIGENCE
BIG DATA/ANALYTICS
IOT
MEDIA/CONTENT/ENTERTAINMENT
DIGITAL MARKETING/ADTECH",Web,"['https://x.com/intent/tweet?text=I%20am%20going%20to%20be%20checking%20out%20ADDD%20at%20MWC.%0Ahttps%3A%2F%2Fwww.mwcbarcelona.com%2Fexhibitors%2F27861-addd', 'https://www.facebook.com/share.php?u=https://www.mwcbarcelona.com/exhibitors/27861-addd']"
45,ADDITIVE SPACES,ADDITIVE SPACES: more company information coming soon.,Hall 8.1 - 4YFN Stand 8.1C30.3A,,,"['https://x.com/intent/tweet?text=I%20am%20going%20to%20be%20checking%20out%20ADDITIVE%20SPACES%20at%20MWC.%0Ahttps%3A%2F%2Fwww.mwcbarcelona.com%2Fexhibitors%2F28210-additive-spaces', 'https://www.facebook.com/share.php?u=https://www.mwcbarcelona.com/exhibitors/28210-additive-spaces']"
46,adjust GmbH,adjust GmbH: more company information coming soon.,"Follow on Twitter
Connect on LinkedIn
Follow on Facebook
Read Blog","LOCATION
Hall Congress Square Stand CS100",,"['https://x.com/intent/tweet?text=I%20am%20going%20to%20be%20checking%20out%20adjust%20GmbH%20at%20MWC.%0Ahttps%3A%2F%2Fwww.mwcbarcelona.com%2Fexhibitors%2F28088-adjust-gmbh', 'https://www.facebook.com/share.php?u=https://www.mwcbarcelona.com/exhibitors/28088-adjust-gmbh']"
47,ADLINK Technology Inc.,ADLINK Technology Inc.: more company information coming soon.,Hall 5 Stand 5A61,,,"['https://x.com/intent/tweet?text=I%20am%20going%20to%20be%20checking%20out%20ADLINK%20Technology%20Inc.%20at%20MWC.%0Ahttps%3A%2F%2Fwww.mwcbarcelona.com%2Fexhibitors%2F27036-adlink-technology-inc', 'https://www.facebook.com/share.php?u=https://www.mwcbarcelona.com/exhibitors/27036-adlink-technology-inc']"
